"","latitude","longitude","altitude..m.","mine.rad"
"647",37.0333,-110.4174,1910.7,1.3
"648",37.0333,-110.334,1571.5,2.1
"649",37.0167,-110.2507,1593.8,0.6
"661",37.0272,-109.3907,1590,2.1
"663",37.0181,-110.321,1550,2.3
"2507",37.0125,-110.4615,1722.9,2.3
"2508",37.0189,-110.3213,1585.4,3
"2511",37.0072,-110.3557,1690.7,3.8
"2513",37.0325,-110.4227,1830.7,1.2
"2514",37.0186,-110.2613,1675.1,3.5
"2515",37.0056,-110.3154,1598,3.3
"2517",37.0169,-110.2579,1628,2.9
"2518",37.0244,-110.4179,1803.7,1.8
"2521",37.0194,-110.244,1732.4,2.1
"2522",37.0147,-110.2157,1775.5,3
"2523",37.0211,-110.2327,1770,1.8
"2798",37.0272,-109.3813,1593.6,1.5
"3370",35.7331,-108.2944,2079.8,2.4835817717206
"3371",35.6744,-108.26,2308.3,0.723623122439708
"3372",35.7028,-108.2236,2071.7,3.65075318655847
"3376",36.7028,-109.3883,1869.9,2.28880639634495
"3377",36.7444,-109.275,1874.3,2.70627906976732
"3378",36.7067,-109.2892,1865.5,1.9153986332574
"3379",36.6608,-109.3328,1868.6,1.14037089871613
"3380",36.6481,-109.2772,2091.9,3.98974025974026
"3381",36.6444,-109.2772,2010.5,3.99454545454546
"3382",36.8036,-109.0808,2223.7,1.62100936286823
"3383",36.6058,-109.2669,2281.6,2.3047619047619
"3384",36.87,-109.1181,1846.4,3.48432721712538
"3385",36.8456,-109.1331,2167.7,2.1
"3386",36.8489,-109.1017,2059.4,2.88100388241819
"3387",36.8489,-109.0928,1986.3,1.59716981132076
"3388",36.8414,-109.0969,2141.9,1.16048689138578
"3389",36.8472,-109.0433,1758.4,2
"3390",36.5633,-109.0533,1830.7,1.54654377880185
"3391",36.5494,-109.0508,1872.9,2.84434570732407
"3392",36.7436,-109.1525,2182.7,2.0328474491078
"3393",36.8792,-109.2817,1757.2,1.54862804878049
"3394",36.815,-109.08,2176.3,2.58588754134509
"3395",36.6697,-109.3258,2013.5,1.96624203821657
"3396",36.7844,-109.1861,2663.3,3.43649885583523
"3398",36.5983,-109.2728,2296.6,1.07845732542219
"3400",35.0481,-110.3311,1609.7,4
"3401",35.7536,-111.2881,1294.1,4.07301927194861
"3402",36.0233,-111.375,1354.1,3.07797468354431
"3403",35.8214,-111.3867,1329.3,6.18371335504885
"3406",36.9553,-110.1125,1726.2,0.8
"3409",36.8225,-109.2156,2342.1,0.1
"3410",36.7944,-109.2778,1967,2.22806122448978
"3411",35.7858,-111.0753,1659.7,2.32906300860264
"3412",36.8764,-110.4164,1911.6,0.9
"3413",36.8917,-109.2594,1752.9,2.16732673267327
"3414",36.9075,-109.2625,1695.8,1.4
"3415",36.8836,-109.2719,1827.7,2.87221711131555
"3416",36.8853,-109.2636,1813,2.2
"3417",36.5128,-109.2572,2532.7,2.92706595905989
"3418",36.9653,-110.3706,1953.3,1.5
"3419",36.9269,-109.4775,1673.8,0.2
"3420",36.915,-109.2858,1678.1,2.25398280802289
"3421",36.9369,-109.2539,1629.2,2.5
"3422",36.8603,-109.4344,1611.6,2.8
"3423",36.9011,-109.2972,1784.1,2
"3424",36.9081,-109.3072,1708.4,2.65932977913175
"3425",36.9931,-110.4486,1733.1,2.1
"3426",36.4672,-109.2247,2175.2,2.62046492320465
"3427",36.4672,-109.2139,2237.4,2.00066873267004
"3428",36.8,-109.2833,1992.1,2.78056732963808
"3429",36.7967,-109.2158,2441.4,2.73052908314164
"3430",36.885,-109.4694,1620.5,1.57552083333333
"3431",36.9694,-109.3172,1650,2.5
"3432",36.9058,-109.3539,1728.2,1.61129770992367
"3433",36.8992,-109.8992,1627.6,2.3
"3434",36.9086,-109.8883,1628.8,2.6
"3435",36.9892,-109.8422,1438.9,3.2
"3436",36.98,-109.8539,1445.3,0.6
"3437",36.9622,-109.8647,1472.5,2.5
"3438",35.9031,-111.4092,1278.8,1.25890728476822
"3439",35.8758,-111.3981,1286.3,6.50909585069756
"3440",35.7658,-111.3422,1309.5,2.90923787528866
"3443",36.6408,-109.2881,2011.8,3.35407854984896
"3444",36.9372,-109.4589,1666.3,0.5
"3445",36.9008,-109.2889,1725.1,2.44846962083143
"3455",36.2594,-109.9197,2149,3.62005242463958
"3456",36.3594,-109.8297,2337,2.99657794676805
"3457",36.3861,-109.8461,2121.7,2.01115198896298
"3458",36.2869,-109.8481,2165.5,2.73610369805564
"3459",36.2922,-109.8364,2151.8,1.8
"3460",36.4608,-109.9106,1821,2.50867862969005
"3461",36.4628,-109.9358,1818.7,2.45135420330637
"3462",36.2214,-109.8389,2195.8,2.05675057208231
"3463",36.2328,-109.8158,2222.7,2.40799086757993
"3464",36.2072,-109.8417,2175.6,3.37286585365852
"3465",36.1975,-109.8569,2196.3,1.10925925925925
"3466",36.2131,-109.8567,2180.6,3.05483993902438
"3467",36.2047,-109.8633,2183.7,2.36332378223496
"3468",36.2594,-109.8503,2170.6,1.15034324942792
"3469",36.2419,-109.9964,2270.8,4.58764302059495
"3470",36.2464,-109.8783,2116,3.0076993583868
"3472",35.0039,-109.799,1676.4,5.1
"3473",36.1694,-109.5771,1671.1,2.9420570623459
"3474",36.0964,-109.5034,1856.4,2.31927990708478
"3475",35.9683,-109.3515,2312.3,1.44477050413844
"3476",35.8453,-109.4459,2140.9,2.49802431610942
"3477",35.9178,-109.2684,2404.1,2.54219858156027
"3478",36.7247,-109.4134,1902.9,1.2
"3479",36.6869,-109.9979,1714.8,1.32088240464054
"3480",36.6986,-109.2868,1876,2.4325328759291
"3481",36.76,-109.0559,1853.2,3.1
"3482",36.1806,-109.484,1771,2.84848217437346
"3483",36.8381,-109.102,2230.4,3.86042612644084
"3484",36.9333,-109.884,1576.2,4.4
"3485",36.5922,-109.2937,2180.7,1.94156285390713
"3487",36.4953,-109.2457,2367.6,3.12935153583616
"3488",36.9167,-109.4673,1670.3,0.8
"3489",36.8042,-109.0743,2136.5,2.00381679389315
"3490",36.5019,-109.2259,2288.9,2.18347707671357
"3491",36.4989,-109.2543,2261.6,3.38432403288852
"3492",36.4925,-109.2479,2264.8,3.02820296492708
"3493",36.9667,-109.2646,1597.8,1
"3494",36.9792,-109.8757,1435.3,2.1
"3495",36.4797,-109.2348,2078.4,3.42164009111617
"3496",36.7494,-109.0718,1890.9,3.91195320447609
"3497",36.5419,-109.2468,2256.6,5.2
"3498",36.5467,-109.2557,2291.5,2.1
"3499",36.9364,-109.8687,1489.6,1
"3500",36.4822,-109.2257,2357.2,2.6654503990878
"3501",36.6361,-109.2768,2108.8,2.9690537084399
"3502",36.6297,-109.332,1910.4,1.5
"3503",36.2456,-109.8915,2140.8,2.82414143983719
"3504",36.4944,-109.259,2263.6,1.88134787964104
"3505",36.5611,-109.254,2109.2,2.64306569343065
"3506",36.5342,-109.267,2567.8,2.57837837837843
"3507",36.5419,-109.3048,2183.3,3.6795992714026
"3509",36.5133,-109.2307,2212.9,2.42389582966744
"3510",36.8292,-109.3312,1794.9,0.906503137478573
"3511",36.5144,-109.2798,2202,2.32632058287796
"3512",36.9228,-109.8651,1490.2,2.3
"3513",36.4842,-109.2334,2287.1,2.15522558537981
"3514",36.5833,-109.3343,1852.9,2
"3515",36.4789,-109.2493,2273.6,2.41876247504989
"3516",36.8967,-109.2701,1739.5,0.7
"3517",36.5228,-109.2193,2299.1,1.11800623052957
"3518",36.5119,-109.2151,2302.1,1.41729893778452
"3519",36.5147,-109.2229,2340.2,1.44871794871795
"3520",36.5103,-109.2257,2304.3,2.92177879133412
"3521",36.515,-109.2479,2381.8,2.9251536700012
"3522",36.5067,-109.2359,2462.2,2.6559213534522
"3523",36.5203,-109.2348,2194.3,3.60660592255125
"3524",36.5136,-109.2412,2392.8,2.3377659574468
"3525",36.5247,-109.2382,2152.8,1.62839005466407
"3526",36.5167,-109.2429,2244.7,1.99289940828401
"3527",36.515,-109.2484,2389.2,9.28898521162678
"3528",36.5161,-109.2551,2379.2,2.04865794907089
"3529",36.5169,-109.2518,2249.9,4.43429438543251
"3530",36.5178,-109.2562,2357.3,1.67597722960151
"3531",36.5214,-109.2495,2297,2.9
"3532",36.5258,-109.2448,2286.4,1.78267333809865
"3533",36.5231,-109.2476,2291.5,4.39887133182874
"3534",36.5233,-109.2573,2347.4,3.61059360730593
"3535",36.5253,-109.2695,2510,2.16576576576565
"3536",36.5386,-109.2657,2513.7,1.1
"3537",36.5403,-109.2568,2348.4,2.7007305936073
"3538",36.5433,-109.2668,2418.5,2.4
"3539",36.5422,-109.3193,2148.2,2.21936218678816
"3540",36.5347,-109.3015,2201.4,4.07641723356006
"3541",36.8931,-109.2771,1709.7,2.6
"3542",36.875,-109.1298,1875.1,2.2157894736842
"3543",36.7408,-109.2734,1847.5,1.38315617334422
"3544",36.5178,-109.2429,2215.3,2.00141101502048
"3545",36.7431,-109.059,1861.3,2.83053435114504
"3546",36.5008,-109.2701,2236.4,2.12814982973893
"3547",36.6692,-109.2584,2101.4,2.2
"3548",36.6669,-109.2507,1970.3,2.69630681818182
"3549",36.75,-109.1676,2463.9,1.04668192219677
"3550",36.65,-109.4173,1724.9,0.748328267477205
"3552",36.4167,-109.9173,1980,3.26171126527919
"3553",36.5081,-109.2709,2239.8,2.51882733675995
"3554",36.3111,-109.9701,2230.3,3.83616858237551
"3556",35.7889,-109.3532,2140.4,2.5058172801831
"3557",36.4133,-109.9015,1922.8,3.76367384333486
"3558",36.4644,-109.9115,1829.3,3.8
"3559",36.2531,-109.979,2217.3,3.82441573247197
"3560",36.8739,-109.0787,1821.9,3.06302201974185
"3565",36.1358,-109.5062,1828.1,2.12102959566486
"3566",36.1547,-109.5715,1674.3,1.20595988538681
"3567",36.1806,-109.574,1667.7,3
"3568",36.0797,-109.3093,1864.8,2.74808136846972
"3569",35.9597,-109.369,2294.5,2.47801147227535
"3570",35.9864,-109.3468,2301.5,4.50347313237222
"3571",35.875,-109.4437,2077.2,2.10732033639144
"3572",35.875,-109.4826,1906.5,2.11839541547278
"3573",35.9983,-109.2998,2303,2.20531177829101
"3574",36.5058,-109.2929,1890.3,3.17321937321937
"3575",36.6669,-109.3295,1932.9,1.8551194539249
"3576",36.6742,-109.3479,1934.8,1.96327383213065
"3577",36.6903,-109.3284,1873.9,1.98752556237219
"3578",36.7156,-109.2837,1967.4,2.4
"3579",36.7247,-109.414,1903.7,2.15239179954444
"3580",36.7314,-109.3101,1866.5,1.7
"3581",36.9167,-109.3423,1707.9,1.8
"3582",36.95,-109.4354,1631.9,2.22545045045043
"3583",36.9378,-109.8248,1735,0.883413139245335
"3584",36.7922,-109.1593,2780.5,2.40869565217399
"3585",36.9258,-109.916,1543.8,1.7
"3586",36.9022,-109.8929,1630.1,3.3
"3587",36.9153,-109.8409,1690.5,3.7
"3588",36.5731,-109.2662,2079.7,1.12626492325185
"3589",36.5892,-109.2737,2168.1,2.28996006845409
"3590",35.8353,-111.4563,1391.1,1.50460776846917
"3591",35.8792,-111.4257,1302.6,4.75574912891979
"3592",35.8647,-111.3757,1261.8,7.21919660100425
"3593",35.7172,-111.3649,1351.8,3.9569868995633
"3594",35.8611,-111.3701,1265.5,0.944680851063861
"3595",35.925,-111.4174,1281.7,3.7176334106728
"3596",35.8139,-111.3707,1302.1,2.4098836374084
"3597",35.6444,-111.296,1335.8,1.26996760758908
"3598",35.6444,-111.2871,1323.2,3.4
"3599",35.9094,-111.3285,1415.2,3.87344173441734
"3600",36.8533,-111.3107,1577.8,2.7
"3601",35.6589,-111.3013,1367.8,3.01550387596898
"3602",35.6375,-111.2771,1311.3,1.33511705685619
"3603",36.8694,-111.6202,1114.2,0.725000000000018
"3604",35.6536,-111.2776,1329.7,2.83009354323523
"3605",36.6814,-111.7704,1394.3,3.24070091596974
"3606",36.0172,-111.9768,1544.1,3.16765722183831
"3607",35.7222,-111.3288,1301.7,4.72127226463104
"3608",35.7736,-111.0376,1658.5,2.69452133794694
"3609",35.8397,-111.3507,1268.2,0.6
"3610",35.7633,-111.3251,1279.5,6.26636466591156
"3611",35.72,-111.3054,1287.1,4.25636279500231
"3612",35.8069,-111.3632,1292.5,2.60127766370067
"3613",35.7811,-111.3576,1341.4,5.19292987236486
"3614",35.8989,-111.4215,1303.4,2.83451546391752
"3615",35.8472,-111.3868,1294.8,2.10669911251074
"3616",35.9042,-111.4021,1279.6,1.88402777777778
"3617",35.8172,-111.3132,1286,4.73012113055182
"3618",35.9236,-111.304,1360.8,0.928858541612985
"3619",35.7175,-111.2879,1293.9,5.19716939407342
"3620",36.75,-111.7507,1256.6,0.950958286358526
"3621",35.9392,-111.3965,1294.2,5.12348830142811
"3622",35.6528,-111.3021,1337.8,8.29082098061562
"3623",35.85,-111.3576,1269.8,5.50912089488027
"3624",35.9097,-111.4021,1279.3,1.88657407407408
"3625",36.913,-111.6304,1052.7,1.95926966292148
"3626",35.9542,-111.4138,1312.4,6.34172261653558
"3627",35.8519,-111.4026,1317.7,3.29837962962961
"3628",35.7169,-111.3551,1357.5,5.41151736745889
"3629",35.3981,-111.5452,2254.9,2.53440366972478
"3630",36.7819,-111.7035,1183.2,3.15659574468085
"3631",36.8667,-111.6518,1612.1,1.2
"3632",35.8403,-111.3493,1269.8,5.35538181818182
"3633",35.8819,-111.384,1274.7,5.92734646581699
"3634",35.8794,-111.3951,1281.5,3.46571428571422
"3635",35.9333,-111.441,1369.3,2.91989604389261
"3637",35.7972,-111.4174,1355.7,1.93851508120645
"3638",35.7344,-111.2963,1289.6,3.77725215029425
"3639",35.7403,-111.3007,1296.3,2.63430616740088
"3640",35.6522,-111.2788,1329.4,2.41459434612733
"3641",36.8953,-111.6166,997.7,2.8
"3642",36.9075,-111.6271,1033.3,2.4
"3643",35.6522,-111.3499,1365.7,2.89536423841061
"3644",35.7392,-111.2968,1287.7,2.6735753676471
"3645",36.8042,-111.7243,1486.7,1.10759493670885
"3646",36.8819,-111.5938,1267,0.466221706326192
"3647",36.7903,-111.7118,1239.6,1.20418702023727
"3648",36.7361,-111.7841,1488.7,1.2
"3649",36.1492,-111.1368,1578,0.619894982497059
"3650",35.75,-111.4035,1352.5,2.58847222222221
"3651",35.7931,-111.4576,1379.6,1.53661726242372
"3652",36.9514,-111.396,1151.8,3.1
"3653",35.9936,-111.3771,1371,4.04491854150504
"3654",36.868,-111.5965,973.9,2.9
"3655",36.6847,-111.8771,1494.7,0.488708220415525
"3656",35.7242,-111.3065,1300.4,3.30512820512822
"3657",35.8903,-111.3663,1293.3,5.40473684210529
"3658",35.8697,-111.3771,1264.5,4.65947976878612
"3737",36.95,-110.234,1667.3,1.4
"3738",36.8889,-110.4174,1961.3,1.3
"3740",35.4028,-110.0562,1921.6,0.1
"3741",36.7422,-110.0582,1642.3,2.38820445609438
"3742",36.9028,-110.291,1595.4,2.74568372803666
"3743",36.8625,-110.0757,1832.6,3.1
"3746",36.9944,-110.4396,1593.8,1.2
"3748",36.9917,-110.291,1635.5,1.7
"3749",36.9917,-110.2076,1724.4,1.3
"3751",35.4736,-110.0668,1784.2,2.52147978642258
"3752",36.8944,-110.0423,1925,0.713495575221121
"3753",35.8167,-110.209,1871.6,1.77444880292168
"3756",36.9639,-110.1118,1981.4,3.3
"3757",36.9514,-110.2321,1701.3,1.03363844393592
"3758",36.9603,-110.2729,1598.5,1.6
"3759",35.5417,-110.9229,1490.9,3.91339850488786
"3760",35.507,-110.0862,1840.7,5.36004609260423
"3761",36.9028,-110.2507,1598.3,0.6
"3762",35.0897,-110.6882,1469.9,3.78920293951382
"3763",35.0189,-110.6007,1498,1.7
"3765",35.0192,-110.1904,1606,3
"3766",36.9611,-110.3104,1542,1.9
"3767",35.3511,-110.1326,1825.9,2.08211416490491
"3768",36.9472,-110.2924,1555,2.1
"3769",36.9625,-110.4368,1653.8,3.4
"3773",36.9625,-110.3632,1625.1,2.08317647058822
"3774",36.9486,-110.2554,1611.1,2.3
"3775",36.875,-110.2715,1607.1,2.53435863874345
"3776",35.5072,-109.9187,1788.9,NA
"3777",35.0767,-110.6979,1473.5,2.2
"3780",36.9625,-110.2187,1589.3,1.3
"3781",35.0189,-109.8887,1620.1,0.3
"3782",35.1195,-110.509,1622.2,4.90045610034205
"3783",35.5111,-110.0479,1812.2,2.08683171869393
"3801",35.1967,-108.1503,2451.9,0.67956600361663
"3859",35.6222,-108.5951,2257.7,1.83974385891245
"3867",35.5228,-108.139,2209.4,0.257337742868958
"3872",35.55,-108.6923,2105,2.12879447146149
"3874",35.6764,-108.1501,2132.7,2.41062355658199
"3878",35.4295,-108.0398,2148,2.21217257318952
"3879",35.3406,-108.0565,2178.5,1.8
"3880",35.4261,-108.0542,2112.1,1.67473536538707
"3881",35.4472,-108.1834,2265.7,0.902970297029689
"3882",35.4364,-108.1773,2299.6,3.20166328208104
"3883",35.4403,-108.1959,2256.7,1.7842105263159
"3884",35.4459,-108.1934,2277.5,1.71260669730795
"3885",35.437,-108.1981,2242.7,1.47269
"3886",35.4259,-108.0081,2133.8,3.89734687192925
"3887",35.4311,-108.0287,2131,2.02486930545186
"3888",35.4056,-108.6479,2221.3,1.8
"3891",35.5539,-108.7176,2077.2,6.67765600141418
"3897",35.4167,-108.0009,2216.9,2.48291605301914
"3898",35.4167,-108.0009,2216.9,2.48291605301914
"3904",35.4167,-108.0009,2216.9,2.48291605301914
"3914",35.6284,-108.5526,2095.4,3.37064099759352
"3917",35.4281,-108.0431,2093.6,1.2
"3919",35.5911,-108.7098,2235.1,4.67164179104468
"3921",35.6775,-108.5273,2219.6,3.02010994044893
"3923",35.4859,-108.0256,2155.7,3.20455685618728
"3936",35.487,-108.6445,2104.2,1.9
"3940",35.487,-108.6445,2104.2,1.9
"3944",35.4906,-108.0167,2145.8,2.25094596897903
"3945",35.7395,-108.8443,1999.7,2.44470911589556
"3948",35.8347,-108.0659,1929.9,1.02630558428128
"3950",35.5736,-108.5212,2239.7,1.29584810126583
"3951",35.4156,-108.3301,2230.6,2.11178954205911
"3955",35.6595,-108.5251,2177,1.35922208281054
"3956",35.5592,-108.5204,2319.4,1.35034802784221
"3958",35.5592,-108.5204,2319.4,1.35034802784221
"3959",35.5597,-108.5381,2313.9,2
"3960",35.5559,-108.5262,2350.4,1.33279282245453
"3961",35.472,-108.0087,2170.4,3.88859749144814
"3962",35.6289,-108.5348,2109.1,2.61967498549042
"3965",35.5361,-108.1606,2244,0.6
"3966",35.5289,-108.1626,2244.1,1.89100773091008
"3968",35.6225,-108.6134,2120.5,5.29347408829173
"3969",35.6156,-108.5451,2066,2.79781970649895
"3970",35.6228,-108.5429,2080.3,1.66102878138396
"3971",35.617,-108.5606,2062,1.44166026133743
"3972",35.6145,-108.5784,2062.7,2.63811056418023
"3973",35.6209,-108.5781,2081.1,2.3
"3975",35.6025,-108.5567,2075,2.88042126379137
"3977",35.4267,-108.0148,2114,3.49121188829107
"3978",35.5167,-108.2203,2323.7,0.988006134969325
"3979",35.5206,-108.2262,2283.3,2.97146171693737
"3980",35.6025,-108.519,2195,2.56961618018845
"3982",35.5203,-108.0717,2165.4,5.27826747720364
"3983",35.6061,-108.5873,2055.8,0.602298850574703
"3984",35.502,-108.1667,2273.3,1.8
"3986",35.4136,-108.0151,2153.5,NA
"3988",35.7497,-108.0478,2002.8,2.43590704647677
"3991",35.5709,-108.6062,2122,2.1662038955657
"3995",35.4622,-108.0915,2259.4,1.93021978021979
"3996",35.4597,-108.094,2267.1,2.6
"3997",35.46,-108.089,2337,2.28862413528055
"4000",35.4123,-108.0156,2177.7,2.01135659436886
"4004",35.6509,-108.5065,2126.9,2.2116504854369
"4009",35.5775,-108.1248,2366.5,1.76220472440944
"4010",35.4575,-108.0962,2250.1,2.4
"4011",35.4439,-108.0223,2219.8,3.07742669362992
"4012",35.4867,-108.6692,2073.2,4.37918215613379
"4018",35.4781,-108.0353,2157.9,2.27705540096128
"4029",35.5561,-108.4995,2306.8,1.67016728624535
"4030",35.3409,-108.0262,2130.2,1.8
"4031",35.4134,-108.0078,2261.4,1.3175934366454
"4032",35.1242,-108.6754,2016.2,2.8
"4033",35.3323,-108.524,2343.9,0.5
"4034",35.617,-108.1148,2141.1,1.7
"4035",35.5331,-108.582,2068.6,2.6
"4043",36.6997,-108.9051,1646.3,2.59966480446931
"4044",36.3797,-109.0129,2405.5,4.03868005738879
"4045",36.5831,-109.0334,1837.9,2.18844270323212
"4046",36.5833,-109.0507,1801.1,2.38278775079198
"4047",36.6833,-109.0507,1681.1,2.5587821189722
"4048",36.6831,-109.042,1689.7,2.37054794520545
"4049",36.7847,-108.6831,1493.8,2.4247889485802
"4050",36.7847,-108.6831,1493.8,2.4247889485802
"4051",36.775,-108.7006,1507.1,3
