"","am1","am2","md1","md5","dd1","dd5"
"1",0,0,8.18635076947534,15.3313372859288,8.18635076947534,15.3313372859288
"2",0,0,9.00964864798929,12.7411275025498,9.00964864798929,12.7411275025498
"3",0,1,1.76386594414041,5.8951475432684,1.76386594414041,7.68743200951355
"4",0,0,2.81176808972582,7.8408215619534,2.81176808972582,8.37236865925039
"5",0,0,8.19444675787238,12.9624925965486,8.19444675787238,17.8277560955265
"6",0,1,1.68661925522629,3.56475248735508,1.68661925522629,3.56475248735508
"7",0,0,5.52342242702926,17.4281046866094,35.9194400342124,45.0589837178267
"8",1,10,0.968908167784664,1.29441467760495,0.968908167784664,1.29441467760495
"9",0,6,1.11592023263368,1.36714694586916,1.11592023263368,1.36714694586916
"10",0,0,2.13847864249366,2.66733488156262,2.13847864249366,5.29340566161321
"11",0,6,1.05971757317678,1.1168297000434,1.05971757317678,1.1168297000434
"12",0,0,2.1327201242547,3.14417321030483,2.1327201242547,6.77462985087706
"13",2,2,0.485922705890629,8.35877028013664,0.485922705890629,8.35877028013664
"14",0,0,4.76334183562885,6.07298848805514,4.76334183562885,12.3041004531439
"15",0,0,12.1243837859453,13.4604584580498,12.1243837859453,13.4604584580498
"16",0,0,9.20198178933363,10.6743998028103,10.6743998028103,16.5930980955414
"17",0,0,9.84311884286338,11.36134787645,9.84311884286338,11.36134787645
"18",0,0,11.4783868584566,16.481733124414,20.3549280590327,24.3759683969356
"19",2,2,0.860438296742017,2.02925198595432,6.5634238338297,8.11118139499407
"20",0,0,9.78049527038895,12.587930782067,9.78049527038895,13.2020048700984
"21",0,0,4.08007743555211,6.90275656474301,6.91929248175682,11.0522327243011
"22",0,0,2.39822300933398,2.6975118577126,3.09463287038963,7.62423974718076
"23",0,0,18.2105340199704,21.443662017307,74.7968618821168,78.7017922463811
"24",0,0,15.3935158559728,25.7067117751784,72.9934391020186,74.562574668878
"25",0,0,15.4048836819659,25.7218047749936,72.9849875752471,74.5774428289335
"26",0,0,2.74513906926426,2.93929500179898,2.93721709881979,4.2337541302731
"27",0,0,3.08350306613996,3.87636047329082,4.95511739668183,5.3989765047556
"28",0,0,11.2123535749738,16.2132053833986,11.2123535749738,22.8346242687987
"29",0,0,7.16147419826999,7.39494165037783,19.4482950155666,26.9485489329672
"30",3,4,0.274050656813391,0.621174921016995,0.478827278358411,1.35589742698376
"31",0,0,13.9263543692069,15.3420662874573,30.4114563580027,33.0903225591517
"32",0,0,17.2249123143348,25.1752668226282,77.0926023142462,78.5833799830564
"33",0,0,14.7729185373003,21.9971628685096,72.411456549697,76.1263469619859
"34",0,0,7.19996269496579,23.5816327202103,67.3531805058,71.0953595868038
"35",0,0,2.16846413136691,21.4670692156161,62.8769071685628,68.7888142697558
"36",2,11,0.485717265212006,1.22427470639752,0.485717265212006,1.22427470639752
"37",1,1,0.776824615727885,17.2910161074362,0.776824615727885,17.2910161074362
"38",0,0,14.4446875217374,25.7580945701662,25.7580945701662,36.8264685129546
"39",0,0,9.25918858607618,25.1190308800823,24.5547963933024,42.5734438384724
"40",0,0,19.065418060499,25.3262406599092,29.3104698706043,32.9666308603951
"41",0,0,8.65188314869071,14.8416760014026,22.8745140836382,27.8292691055048
"42",0,0,7.42814045115091,14.825771328435,7.42814045115091,18.1650873062872
"43",0,0,22.7109307930294,25.2373209328561,25.1480336388392,26.3415136182428
"44",0,0,7.29967380422601,7.72932739351204,7.29967380422601,7.72932739351204
"45",0,0,6.60241687729593,10.799149696693,6.60241687729593,10.799149696693
"46",0,3,1.11647556842873,1.67788182745376,1.11647556842873,1.67788182745376
"47",0,0,5.94079257780459,6.60562227292024,5.94079257780459,11.6433404894166
"48",0,0,3.95252117459287,7.34505361951892,3.95252117459287,7.64811235440462
"49",0,0,3.47581678711677,3.73868716123669,3.47581678711677,4.61117817781979
"50",0,0,2.14709122696225,3.35528303022277,2.14709122696225,3.35528303022277
"51",0,0,9.36454659940513,10.394206355101,9.36454659940513,10.394206355101
"52",1,1,0.392598669890607,5.90621083788991,5.90621083788991,12.0852330683191
"53",0,1,1.41609158602164,8.8662838511969,3.48787391543893,9.75733434140671
"54",0,0,5.71931961131746,11.5291900388711,5.71931961131746,11.5291900388711
"55",0,0,5.40402728357327,11.3305996809354,5.40402728357327,11.3305996809354
"56",0,0,2.49208117020642,8.85021665739892,8.85021665739892,14.5923681004458
"57",0,0,10.6280997178914,16.5314399572404,10.6280997178914,16.5314399572404
"58",0,0,13.8195415970992,19.5031172112034,13.8195415970992,19.6539076376469
"59",0,0,11.5194347713222,15.0436584472906,11.5194347713222,15.0436584472906
"60",0,0,4.37041034873537,9.11218446500675,4.37041034873537,9.11218446500675
"61",0,0,8.37622896215573,11.8805754083166,8.37622896215573,11.8805754083166
"62",0,1,1.68887121815881,9.42860681317913,1.68887121815881,9.42860681317913
"63",0,0,7.60522114721554,13.5518110814169,7.60522114721554,13.5518110814169
"64",0,0,12.0836980730406,33.9888534115877,12.0836980730406,33.9888534115877
"65",0,0,15.9986535067673,38.0841901327517,15.9986535067673,38.0841901327517
"66",0,0,15.7074443607516,37.6450351974614,15.7074443607516,37.6450351974614
"67",0,0,8.64292097468206,29.3952972872632,28.0798393654702,29.8987868239929
"68",0,0,26.0810670257212,27.2608000669128,37.7466680734628,59.4116105808633
"69",0,0,26.0810670257212,27.2608000669128,37.7466680734628,59.4116105808633
"70",0,0,9.95887156089501,14.2917596716573,41.0685196374115,43.083557386158
"71",1,2,0.884256910406017,2.64003389023633,0.884256910406017,2.64003389023633
"72",0,0,6.12243349412636,10.6225688503294,40.331562633377,44.4224348559374
"73",0,0,4.54199249345459,8.07546763144979,4.54199249345459,8.73353009627802
"74",0,0,4.80069851621767,7.4936748153123,4.80069851621767,7.4936748153123
"75",0,0,34.4672358524095,51.0899617620887,34.4672358524095,51.0899617620887
"76",0,0,3.35690906378172,3.57861473513142,3.35690906378172,3.57861473513142
"77",0,0,3.08689219359848,3.86385425280204,3.08689219359848,4.78278035988573
"78",0,1,1.08274592587579,3.57005054586131,1.08274592587579,3.70269623112685
"79",2,3,0.860523051932165,1.82800634979367,0.860523051932165,1.82800634979367
"80",0,1,1.92944673388608,2.63578170850724,1.92944673388608,3.87219037792566
"81",0,2,1.07067362842299,2.35005303484848,1.07067362842299,3.02782005650965
"82",0,0,4.66580000984307,11.3621356906547,9.0305610601366,14.8833636833157
"83",0,0,7.11758098412884,7.84265980332019,7.11758098412884,9.04784718154663
"84",0,0,6.83547793197422,8.12814199104104,6.85236397014256,8.43616111591712
"85",0,0,18.1572001908584,24.5241731475482,40.5818057513826,41.526896907316
"86",0,0,7.87314601410393,17.54047686203,31.9399086827663,50.8547307787521
"87",0,0,7.42050263341418,19.241162772361,49.2202981155387,50.3868425917172
"88",0,0,12.5733763067878,13.8954096108069,12.5733763067878,13.8954096108069
"89",0,0,26.4360293060888,27.7746120985046,37.1064055547341,58.8614419475971
"90",0,0,26.6352400180587,27.9838606891474,27.1161704490444,36.007209061237
"91",0,0,26.6565108378795,28.0069954350695,27.1404039560951,36.0284794162899
"92",0,0,28.3341687493316,29.6944410280041,28.3341687493316,29.6944410280041
"93",0,0,5.12476597026673,8.05161542859545,5.12476597026673,8.05161542859545
"94",0,0,22.2798168204141,23.6702315509633,22.2798168204141,23.6702315509633
"95",0,1,1.88038251521531,21.0224136644089,1.88038251521531,23.9504682508825
"96",0,0,5.67030893247764,20.8946455752114,5.67030893247764,20.9555319968675
"97",0,0,24.0826435096539,35.9951698326055,24.0826435096539,40.9515454519496
"98",0,1,1.90302642430413,3.13360038479681,23.8884660027723,27.7126628017525
"99",0,0,3.14970810590407,4.77918613912458,21.0100028837314,26.6641317046029
"100",0,0,24.8141636596195,27.5361197494564,24.8141636596195,39.1431265977361
"101",0,0,27.2661337821866,30.5831438604352,27.2661337821866,36.3367687593179
"102",0,0,29.7002622798121,30.0233490166844,29.7002622798121,30.0233490166844
"103",0,0,30.7840037319449,31.1071577626824,30.7840037319449,31.1071577626824
"104",0,0,26.2007851762294,29.7810620655295,41.3561861251116,53.8388923963241
"105",0,0,26.3085478658552,29.4446390945786,37.0764454461316,55.1019665388632
"106",0,0,24.4671247115388,26.9323618609657,30.8709942230562,76.3974509913127
"107",0,0,19.9128467011849,22.2681999729861,29.1835448186285,49.7075296126142
"108",0,0,12.2319624485663,16.2378955346172,20.947457824474,39.1692207074396
"109",0,0,4.30711419862467,6.02693405638396,6.02693405638396,8.15775390962519
"110",0,0,6.40026831488361,7.46776936725475,6.40026831488361,7.46776936725475
"111",0,0,13.7453203182026,15.5728815021501,15.4936547479933,16.1751125832254
"112",0,0,7.87870509645408,18.0595986543688,18.0595986543688,18.6176738460227
"113",0,0,9.32885185057625,18.9377897561993,18.9377897561993,19.8637887609584
"114",0,0,9.64772924731981,18.5938416049407,16.1977045424839,19.3558810952021
"115",0,0,3.23469762846546,6.16570354554951,6.16570354554951,6.96586827420604
"116",0,0,20.9257753843499,25.2629523686812,20.9257753843499,25.2629523686812
"117",0,0,12.9475325635251,18.3851063970412,20.031914432488,20.8492293931821
"118",0,0,24.4176244160261,25.9641882016388,34.0319132340153,34.5734977054035
"119",0,0,28.263092060505,29.174343758938,38.5889143092827,39.2470990402256
"120",0,0,26.2071632439407,27.463078640797,36.1587290707111,36.4041248268117
"121",0,0,32.6289277007518,33.5362031165387,42.1576608600397,42.9695808872432
"122",0,0,23.8403181055097,29.1859079584567,24.8060773035539,37.1391022040425
"123",0,0,2.36734467908722,3.34570140502745,2.36734467908722,3.34570140502745
"124",0,1,1.24436053541641,6.01967712440665,4.88480720500856,6.20780249735045
"125",3,5,0.530704494893616,0.972442066603569,0.530704494893616,0.972442066603569
"126",2,5,0.861433007493752,1.28352410199395,0.861433007493752,1.28352410199395
"127",4,5,0.687382180812897,0.808897374516014,0.687382180812897,0.866896408170929
"128",0,0,16.5292920983355,17.137741154426,16.6735410392668,17.1865048815667
"129",0,0,6.93032330051065,8.14716592549817,6.93032330051065,8.14716592549817
"130",0,2,1.69372852691845,2.00659271674654,1.69372852691845,2.00659271674654
"131",2,3,0.563719143635271,1.47826518896277,2.82945905517301,3.24362582134571
"132",0,4,1.02657685932503,1.58973887921918,1.02657685932503,1.58973887921918
"133",1,6,0.971850992745358,1.14604000807155,0.971850992745358,1.14604000807155
"134",0,1,1.79653979916967,3.5748040533717,1.79653979916967,4.75313518638032
"135",0,3,1.15332682536134,1.9655541361405,1.15332682536134,1.9655541361405
"136",0,1,1.29799379795769,2.36754950306465,2.17115041429064,2.74908830768726
"137",0,0,2.88457521212425,4.97758402866312,2.88457521212425,5.68009928314668
"138",1,1,0.763220356450033,3.51698831566158,7.7405153738301,8.52185053098798
"139",0,0,5.68649982186763,7.19707839029833,5.68649982186763,7.19707839029833
"140",0,0,11.0344777883912,11.3404495000191,11.0344777883912,11.3404495000191
"141",0,0,11.0091509517409,11.3086918933271,11.0091509517409,11.3086918933271
"142",0,0,7.13202497780951,7.4405092391651,7.4405092391651,7.9683932867359
"143",0,0,4.85839692227849,11.899267800684,11.3524392360579,12.4588256887391
"144",0,0,38.119454321174,39.3196100469483,64.369967095285,66.8171931144081
"145",0,0,44.1980515914229,45.2825882429227,44.1980515914229,45.2825882429227
"146",0,0,50.6788983584845,51.448145932343,50.6788983584845,51.448145932343
"147",0,0,47.1088510773526,48.1247268754029,47.1088510773526,48.1247268754029
"148",0,0,40.2255412229902,41.4984759501177,40.6099542418177,49.4856534702991
"149",0,0,38.1113081813466,39.3114445428247,64.3710329587745,66.819000949877
"150",0,0,15.6971788125291,18.5175116069229,81.3183372094667,84.8062283840797
"151",0,0,12.0308590350025,16.8945330643997,83.9799346869477,87.2911777619026
"152",0,0,15.6994610914021,18.5233660051575,81.3245556277061,84.8129222008925
"153",0,0,15.7884070029248,22.3147840679668,31.4179829397115,36.8732649355876
"154",0,0,9.14733680381868,14.8959885178024,9.14733680381868,21.5265873078505
"155",0,0,4.97719982998479,13.6373569191982,49.1814283982651,50.7825567590641
"156",0,0,19.6060144907753,24.9519045848709,35.0881932568856,40.9330830433343
"157",0,0,28.5151179457146,30.3338837843099,31.9462904859554,32.4240836815474
"158",0,0,22.7797702952975,29.2102577473315,34.5365987749167,41.3049512233647
"159",0,0,22.5016933579238,25.2032049160634,22.5016933579238,25.2032049160634
"160",0,0,21.376737969385,26.2986080345288,30.6180790518533,32.2133152092648
"161",0,0,3.67406099379132,6.98228240148568,3.67406099379132,8.68041134889851
"162",0,0,6.68211138775833,7.93173287046416,6.68211138775833,7.93173287046416
"163",0,1,1.44731144626838,6.68875968939686,1.44731144626838,6.68875968939686
"164",0,0,2.45250044055023,4.59320862174867,2.45250044055023,4.59320862174867
"165",0,0,3.06137833089954,4.27213130286294,4.06744360365361,4.80599662930666
"166",0,0,16.1639440794129,17.2623293059303,16.1639440794129,17.2623293059303
"167",0,0,9.86194274573214,11.4157743651538,9.86194274573214,11.4157743651538
"168",1,8,0.640649150784145,1.26920297525632,0.640649150784145,1.26920297525632
"169",0,0,5.502558881184,7.14197618456464,5.502558881184,7.14197618456464
"170",0,0,14.5229574197678,15.5617375150846,14.5229574197678,15.5617375150846
"171",3,8,0.485857146597757,0.582060477012392,0.582060477012392,1.40792963563538
"172",3,6,0.108704518765451,0.793194540071948,0.108704518765451,1.15544748058923
"173",1,4,0.518109836327335,1.7580074295919,1.7580074295919,4.29517712353025
"174",0,0,6.7262227426988,7.54467479275273,7.08579074475094,7.88705003764986
"175",0,0,7.19812894288507,8.51284245492688,7.19812894288507,8.51284245492688
"176",0,0,5.68728282860112,6.78976554179188,5.68728282860112,6.78976554179188
"177",0,0,3.70690061420543,4.61692421029414,3.70690061420543,4.61692421029414
"178",0,0,5.07605910858228,6.40384104971522,5.07605910858228,6.40384104971522
"179",1,2,0.908774108690005,2.14619935132349,0.908774108690005,4.61805185447512
"180",0,0,3.20670835306181,5.05076534057927,3.20670835306181,5.05076534057927
"181",0,0,5.6871722182469,8.26978405098901,5.6871722182469,8.26978405098901
"182",1,2,0.576983823082807,2.65366598502926,0.576983823082807,9.31540494428999
"183",0,2,1.4690303720966,2.23966903850896,1.4690303720966,3.95179918795682
"184",1,2,0.37602041197909,3.15642992037304,0.37602041197909,9.53697315379622
"185",0,0,17.6316617290061,34.7617954741419,55.3175469278425,71.1337830716608
"186",0,0,23.6865709949099,39.6001386038603,53.4318185205488,69.4677996938794
"187",0,0,26.1055325805255,40.4407388741216,49.8069723652907,66.5728998506815
"188",0,0,41.406587110922,56.8673412625598,57.0503191366219,62.1453733163008
"189",0,0,46.471287746624,57.1460968754091,57.1460968754091,58.1450400880732
"190",0,0,17.528334751598,20.8993418752861,23.8273662385106,26.0301137068607
"191",0,0,19.301371164391,22.1982853848129,20.3574069375151,23.9084490570513
"192",0,0,11.719667418848,14.3471038357025,11.719667418848,14.3471038357025
"193",0,0,14.9297388704591,16.8706913925932,22.4988054676706,22.9753518595927
"194",0,0,13.4667044858643,13.8988082293268,13.4667044858643,13.8988082293268
"195",0,0,8.98251532214139,15.6258070304392,8.98251532214139,21.9456074787755
"196",0,0,9.260559533548,13.3864102835822,11.0052274695449,20.0450922279336
"197",0,0,9.7125653687839,14.7639853625952,9.7125653687839,20.4078253839771
"198",0,0,8.36073194317362,17.1744082211771,18.6462829249045,42.6852191184915
"199",0,0,6.58771509964569,17.9003973410129,6.58771509964569,23.471197665524
"200",0,0,8.72708911393175,12.9310123951095,12.9310123951095,37.2493801897763
"201",0,0,14.0440693902582,33.4460102339329,56.915908829275,72.475952647195
"202",0,0,2.1011435725579,6.89467703757751,6.74209847692178,7.13167990395734
"203",0,0,14.0356361203804,33.4444877247164,56.9214580075537,72.4782823661247
"204",0,0,4.93169366977447,27.4159320071835,4.93169366977447,44.3285444443249
"205",0,0,20.7035686763154,21.7431400273033,20.7035686763154,21.7431400273033
"206",1,1,0.930734746530982,6.13010740333301,0.930734746530982,6.78493184272296
"207",0,0,2.4194516589709,7.96152802005381,2.4194516589709,7.96152802005381
"208",1,4,0.5935243739726,1.40448338633826,1.40448338633826,3.70746542566499
"209",0,0,23.3720076498804,36.8508344091436,23.3720076498804,40.5945259612931
"210",0,0,17.053573268662,34.4812127810438,34.4055317092422,35.3961813676509
"211",0,0,12.3069398002678,33.5930250628227,12.3069398002678,33.5930250628227
